x,y
1951.2952833572447,1.225014727540501
1952.325591822094,1.2131406480117823
1953.1841822094686,1.1561450662739325
1954.2144906743179,1.1822680412371138
1955.0730810616924,1.1775184094256264
1956.1033895265418,1.2107658321060386
1958.3357245337154,1.1917673048600887
1959.022596843615,1.19889175257732
1960.0529053084642,1.2606369661266572
1961.0832137733137,1.225014727540501
1961.9418041606882,1.279635493372607
1963.4872668579621,1.2915095729013257
1965.032729555236,1.3105081001472756
1966.5781922525102,1.2962592047128132
1969.8408357245332,1.2867599410898383
1970.6994261119075,1.2653865979381447
1973.275197274031,1.2630117820324007
1973.9620695839305,1.2511377025036823
1974.6489418938302,1.2297643593519885
1976.0226865136292,1.2273895434462447
1976.537840746054,1.215515463917526
1977.9115853658532,1.2273895434462447
1978.9418938307024,1.2202650957290135
1979.800484218077,1.1965169366715762
1980.8307926829264,1.1775184094256264
1982.0328192252505,1.1775184094256264
1982.891409612625,1.189392488954345
1985.6388988522233,1.2416384388807074
1986.4974892395978,1.279635493372607
1988.0429519368718,1.2938843888070695
1988.3863880918216,1.3081332842415319
1989.5884146341457,1.3128829160530193
1990.4470050215202,1.3033836524300444
1991.6490315638446,1.3081332842415319
1992.6793400286938,1.3342562592047131
1994.5682388809178,1.3508799705449193
1997.1440100430411,1.3983762886597941
1999.0329088952649,1.3936266568483067
2000.5783715925388,1.405500736377025
2001.4369619799133,1.3888770250368192
2002.6389885222377,1.4221244477172315
2003.497578909612,1.5171170839469812
2004.3561692969865,1.5076178203240058
2005.5581958393109,1.5171170839469812
2006.4167862266852,1.536115611192931
2007.6188127690095,1.4909941089838
2008.3056850789092,1.4126251840942565
2009.5077116212333,1.443497790868925
2010.194583931133,1.5242415316642122
2011.0531743185074,1.5242415316642122
2012.9420731707312,1.5836119293078057
2014.3158177905302,1.6477319587628867
