x,y
1983.0873239436614,0.05064935064935067
1984.047887323943,0.004675324675324714
1985.0957746478869,0.0015584415584415992
1986.1436619718304,0.048311688311688326
1987.1915492957742,0.056103896103896135
1988.064788732394,0.052987012987013006
1989.1999999999996,0.0607792207792208
1990.509859154929,0.04987012987012989
1991.295774647887,0.038181818181818226
1992.4309859154926,0.046753246753246776
1993.3915492957742,0.07324675324675325
1994.3521126760559,0.07870129870129872
1995.3999999999996,0.09116883116883118
1996.4478873239432,0.09194805194805195
1997.495774647887,0.07636363636363638
1998.5436619718305,0.07558441558441562
1999.5042253521124,0.057662337662337686
2000.552112676056,0.03272727272727275
2002.1239436619715,0.05844155844155847
2003.521126760563,0.09974025974025977
2004.6563380281686,0.1355844155844156
2005.7915492957743,0.17922077922077922
2006.839436619718,0.17220779220779217
2007.8873239436616,0.15428571428571433
2008.8478873239435,0.12233766233766233
2009.895774647887,0.11376623376623377
2010.8563380281687,0.11922077922077925
2012.0788732394365,0.12233766233766233
2013.0394366197181,0.1667532467532468
2013.9999999999998,0.1503896103896104
