DATE,HOUST,MORTGAGE30US
1959-01-01,1648.0000000000000000,.
1959-04-01,1530.3333333333333333,.
1959-07-01,1505.6666666666666667,.
1959-10-01,1457.3333333333333333,.
1960-01-01,1357.3333333333333333,.
1960-04-01,1269.0000000000000000,.
1960-07-01,1212.6666666666666667,.
1960-10-01,1185.0000000000000000,.
1961-01-01,1240.3333333333333333,.
1961-04-01,1258.6666666666666667,.
1961-07-01,1358.6666666666666667,.
1961-10-01,1388.3333333333333333,.
1962-01-01,1360.6666666666666667,.
1962-04-01,1470.3333333333333333,.
1962-07-01,1430.3333333333333333,.
1962-10-01,1573.0000000000000000,.
1963-01-01,1411.3333333333333333,.
1963-04-01,1639.3333333333333333,.
1963-07-01,1672.0000000000000000,.
1963-10-01,1630.6666666666666667,.
1964-01-01,1646.6666666666666667,.
1964-04-01,1488.3333333333333333,.
1964-07-01,1528.6666666666666667,.
1964-10-01,1498.0000000000000000,.
1965-01-01,1405.6666666666666667,.
1965-04-01,1468.0000000000000000,.
1965-07-01,1481.0000000000000000,.
1965-10-01,1522.6666666666666667,.
1966-01-01,1380.6666666666666667,.
1966-04-01,1270.3333333333333333,.
1966-07-01,1083.6666666666666667,.
1966-10-01,931.3333333333333333,.
1967-01-01,1082.0000000000000000,.
1967-04-01,1214.3333333333333333,.
1967-07-01,1397.3333333333333333,.
1967-10-01,1445.6666666666666667,.
1968-01-01,1455.3333333333333333,.
1968-04-01,1455.6666666666666667,.
1968-07-01,1521.0000000000000000,.
1968-10-01,1582.3333333333333333,.
1969-01-01,1678.3333333333333333,.
1969-04-01,1545.0000000000000000,.
1969-07-01,1411.0000000000000000,.
1969-10-01,1312.3333333333333333,.
1970-01-01,1236.3333333333333333,.
1970-04-01,1313.0000000000000000,.
1970-07-01,1483.3333333333333333,.
1970-10-01,1706.6666666666666667,.
1971-01-01,1826.3333333333333333,.
1971-04-01,2020.3333333333333333,7.4130769230769231
1971-07-01,2094.0000000000000000,7.6584615384615385
1971-10-01,2201.6666666666666667,7.5528571428571429
1972-01-01,2406.0000000000000000,7.3492307692307692
1972-04-01,2241.3333333333333333,7.3469230769230769
1972-07-01,2371.6666666666666667,7.4061538461538462
1972-10-01,2424.0000000000000000,7.4307692307692308
1973-01-01,2378.3333333333333333,7.4461538461538462
1973-04-01,2139.0000000000000000,7.6500000000000000
1973-07-01,2016.0000000000000000,8.4569230769230769
1973-10-01,1642.3333333333333333,8.6261538461538462
1974-01-01,1586.0000000000000000,8.4623076923076923
1974-04-01,1515.3333333333333333,8.8869230769230769
1974-07-01,1202.6666666666666667,9.6061538461538462
1974-10-01,1023.6666666666666667,9.7930769230769231
1975-01-01,976.3333333333333333,9.1684615384615385
1975-04-01,1071.0000000000000000,8.8753846153846154
1975-07-01,1250.0000000000000000,8.9838461538461538
1975-10-01,1341.6666666666666667,9.1607692307692308
1976-01-01,1442.0000000000000000,8.8730769230769231
1976-04-01,1449.6666666666666667,8.7769230769230769
1976-07-01,1557.0000000000000000,8.9676923076923077
1976-10-01,1691.3333333333333333,8.8471428571428571
1977-01-01,1844.3333333333333333,8.6933333333333333
1977-04-01,1918.6666666666666667,8.8076923076923077
1977-07-01,2009.0000000000000000,8.9250000000000000
1977-10-01,2075.3333333333333333,8.9369230769230769
1978-01-01,1829.3333333333333333,9.1269230769230769
1978-04-01,2114.0000000000000000,9.5576923076923077
1978-07-01,2019.3333333333333333,9.7600000000000000
1978-10-01,2039.6666666666666667,10.1223076923076923
1979-01-01,1665.6666666666666667,10.4092307692307692
1979-04-01,1845.6666666666666667,10.7638461538461538
1979-07-01,1790.0000000000000000,11.1569230769230769
1979-10-01,1567.6666666666666667,12.4846153846153846
1980-01-01,1246.0000000000000000,13.6800000000000000
1980-04-01,1058.0000000000000000,14.4192307692307692
1980-07-01,1392.0000000000000000,12.6430769230769231
1980-10-01,1505.0000000000000000,14.2261538461538462
1981-01-01,1366.3333333333333333,15.1269230769230769
1981-04-01,1181.6666666666666667,16.2392307692307692
1981-07-01,964.0000000000000000,17.3800000000000000
1981-10-01,873.3333333333333333,17.7357142857142857
1982-01-01,880.0000000000000000,17.4141666666666667
1982-04-01,948.0000000000000000,16.7661538461538462
1982-07-01,1118.6666666666666667,16.2215384615384615
1982-10-01,1282.6666666666666667,14.0328571428571429
1983-01-01,1630.3333333333333333,13.0300000000000000
1983-04-01,1660.3333333333333333,12.7630769230769231
1983-07-01,1801.6666666666666667,13.6414285714285714
1983-10-01,1729.3333333333333333,13.4600000000000000
1984-01-01,1940.0000000000000000,13.3330769230769231
1984-04-01,1822.6666666666666667,14.0353846153846154
1984-07-01,1672.0000000000000000,14.4938461538461538
1984-10-01,1630.3333333333333333,13.6484615384615385
1985-01-01,1714.3333333333333333,13.0638461538461538
1985-04-01,1725.6666666666666667,12.7853846153846154
1985-07-01,1701.0000000000000000,12.1407692307692308
1985-10-01,1824.6666666666666667,11.7307692307692308
1986-01-01,1898.6666666666666667,10.5838461538461538
1986-04-01,1878.0000000000000000,10.2461538461538462
1986-07-01,1758.6666666666666667,10.2353846153846154
1986-10-01,1712.3333333333333333,9.6838461538461538
1987-01-01,1761.3333333333333333,9.1146153846153846
1987-04-01,1612.0000000000000000,10.3430769230769231
1987-07-01,1625.0000000000000000,10.4815384615384615
1987-10-01,1523.6666666666666667,10.8642857142857143
1988-01-01,1425.3333333333333333,10.0683333333333333
1988-04-01,1490.6666666666666667,10.3592307692307692
1988-07-01,1484.0000000000000000,10.4964285714285714
1988-10-01,1551.3333333333333333,10.4100000000000000
