uerate,earnings
1.999998," 47,636 "
2.999997," 46,697 "
4.000002," 46,070 "
5.000001," 45,601 "
6," 45,225 "
6.999999," 44,912 "
7.999998," 44,643 "
8.999997," 44,408 "
10," 44,200 "
11," 44,012 "
12," 43,841 "
13," 43,684 "
14," 43,540 "
15," 43,405 "
16," 43,280 "
17," 43,163 "
18," 43,052 "
