Country,UnemploymentAvg,RealWageGrowth,Performance
USA,6.343897167,1.044706,1
BEL,8.624570357,2.140427625,1
CAN,8.140068381,1.101219497,1
DNK,6.125783921,2.289153476,2
FIN,7.238089762,3.002785185,2
FRA,7.155037952,2.416294691,2
DEU,6.356788693,2.404809778,2
ITA,9.000758048,2.047659532,1
JPN,3.051928714,1.996893537,3
NLD,5.718189405,1.82431679,2
NOR,3.23279426,2.363375169,3
ESP,13.6955685,2.663226056,1
SWE,4.87232969,1.790558066,2
GBR,6.740786143,2.079159864,2
